,,,,,308,,,,
422909,41.641561,12.9129675,location of Temple of Castor and Pollux,IT,Location based on OpenStreetMap,"temple,",location-of-temple-of-castor-and-pollux,,"-550.0,300.0"
462086,37.2896423,13.5920241,location of Temple of Concord,IT,"A well preserved Doric temple built originally in the fifth century BC and converted into a Christian shrine in the sixth century AD. The temple is also referred to as ""Temple F"". Coordinates after OSM; location verified in Google Earth.","church, temple,",location-of-temple-of-concord,,"-550.0,640.0"
423013,41.8395691,12.8931357,location of Temple of Fortuna Primigenia,IT,Location based on OpenStreetMap,"temple,",location-of-temple-of-fortuna-primigenia,,"-330.0,300.0"
324774,35.8543522,9.2092383,location of Temple of Hathor Miskar,TN,Location based on OpenStreetMap. A Punic temple founded in the first century BC.,"temple,",location-of-temple-of-hathor-miskar,,"-30.0,300.0"
422909,41.6426742,12.9155821,location of Temple of Herakles,IT,Location based on OpenStreetMap,"temple,",location-of-temple-of-herakles,,"-330.0,300.0"
697728,31.9538092,35.9346022,location of Temple of Hercules,JO,Location based on OpenStreetMap,"temple,",location-of-temple-of-hercules,,"-140.0,640.0"
825969667,41.8887057,12.4806393,location of Temple of Hercules Victor,IT,Location based on OpenStreetMap,"temple,",location-of-temple-of-hercules-victor,,"-330.0,1453.0"
315223,36.422568,9.2154855,location of Temple of Juno Caelestis,TN,"Juno Caelestis, a successor divinity of the Punic Tanit, is celebrated by a sanctuary built at Dougga ca. 222-235 CE,and sponsored by Q. Gabinius Rufus Felix. Location based on OpenStreetMap","temple,",location-of-temple-of-juno-caelestis,,"-30.0,640.0"
433073,41.4329867,14.6177482,location of Temple of Jupiter,IT,Location based on OpenStreetMap,"temple,",location-of-temple-of-jupiter,,"-330.0,-30.0"
795815,22.800667,32.547597,location of Temple of Maharraqa,EG,"A temple sacred to Isis and Osiris of Roman date, relocated before the completion of the Aswan dam in the 1960s.","temple,",location-of-temple-of-maharraqa,,"-140.0,640.0"
540898685,41.8938379,12.5117027,location of Temple of Minerva Medica,IT,Location based on OpenStreetMap,"temple,",location-of-temple-of-minerva-medica,,"-30.0,640.0"
570316,37.9158514,22.992664,location of Temple of Poseidon,GR,"The Poseidon sanctuary at Isthmia lies 16 km to the east of Corinth.The initial phase belongs to the seventh century BC, although the sanctuary was destroyed ca. 470 BC and rebuilt in 440 BC. Location based on OpenStreetMap","temple,",location-of-temple-of-poseidon,,"-750.0,300.0"
756512,26.1868288,31.9167647,location of Temple of Ramesses II,EG,Location based on OpenStreetMap,"temple,",location-of-temple-of-ramesses-ii,,"-1548.0,-1086.0"
423081,41.9667689,12.8010789,location of Temple of the Sibyl,IT,Location based on OpenStreetMap,"temple,",location-of-temple-of-the-sibyl,,"-330.0,300.0"
697725,30.3292494,35.4424763,location of Temple of the Winged Lions,JO,Location based on OpenStreetMap,"temple,",location-of-temple-of-the-winged-lions,,"-140.0,226.0"
423081,41.966625,12.8010374,location of Temple of Vesta,IT,Location based on OpenStreetMap,"temple,",location-of-temple-of-vesta,,"-330.0,300.0"
609292,39.2002953,29.6102181,location of Temple of Zeus,TR,"The Roman phase of the main sanctuary of the city, with evidence for sacred use as early as the the third millennium BC. Location based on OpenStreetMap.","temple,",location-of-temple-of-zeus,,"-30.0,300.0"
785974,24.977575,32.872092,location of the ancient settlement,EG,"The ancient settlement near the Temple to Horus, known as Wetjeset-hor in the Pharaonic period, and Apollinopolis Magna during the Roman period.","settlement,",the-ancient-settlement,,"-750.0,300.0"
108771,50.021578,1.461921,Location of the archaeological site of Bois l'Abbé,FR,"Bois l'Abbé, commune Eu, département Seine-Maritime","temple, theatre, plaza,",location-of-the-archaeological-site-bois-labbe,,"-330.0,640.0"
138575,46.496274,-0.023432,location of the Gallo-Roman site,FR,"The Gallo-Roman site of Sanxay is located at Herbord, commune Sanxay, dep. Vienne","temple,",location-of-the-gallo-roman-site,,"-30.0,640.0"
697725,30.328819,35.442386,location of the Great Temple,JO,A monumental temple complex,"temple,",great-temple,UWHS,"1700.0,2100.0"
128044615,41.8988143,12.4768418,location of the Pantheon,IT,Location based on OpenStreetMap,"temple,",location-of-the-pantheon,,"-30.0,2100.0"
138615,46.81356,2.639874,Location of the sanctuary,FR,"The site is located at La Garenne, Moulin des Gaumins, commune Thaumiers, département Cher. The sanctuary has two temples (fana) and a theater.",unknown,location-of-the-sanctuary,,"-30.0,640.0"
599631,37.029101,25.431186,location of the sanctuary,GR,Verified in Google Earth 2013. Dates after BAtlas.,"temple,",location-of-the-sanctuary,,"-750.0,640.0"
501511,40.5008,25.5301,location of the Sanctuary of the great gods,GR,verified in Google Earth 2013.,"temple,",location-of-the-sanctuary-of-the-great-gods,,"-750.0,640.0"
413140,42.842222,12.756944,Location of the Temple of Clitumnus,IT,An ancient Roman temple that later became a paleochristian shrine.,"temple,",temple-of-clitumnus,UWHS,"300.0,1453.0"
246349,41.1319778,1.318919,location of Torre dels Escipions,ES,Location based on OpenStreetMap,"temple,",location-of-torre-dels-escipions,,"-30.0,300.0"
413065,42.6394607,12.5572285,location of twin sanctuary,IT,Location based on OpenStreetMap,"temple,",location-of-sanctuary,,"-30.0,300.0"
422859,42.00412,12.1071587,location of Vigna Parrocchiale archaeological area,IT,"A complex of civic and sacred buildings in the urban area of ancient Caere, including the so-called ""elliptical building"". Location based on OpenStreetMap.","temple, architecturalcomplex,",location-of-vigna-parrocchiale-archaeological-area,,"-750.0,-330.0"
283602441,40.0254251,34.6327074,location of Yazılıkaya,TR,A sacred rock-cut sanctuary of the Hittites. Location based on OpenStreetMap,"temple,",location-of-yaz131l131kaya,,"-2000.0,-1000.0"
521035,41.179,29.094,Location of Yoros Castle,TR,at Anadolu Kavağı; verified in Google Earth 2013.,"temple,",location-of-yoros-castle,,"-550.0,300.0"
590101,35.3320287,25.2053213,"location of Zeus Thenatas, T.",GR,Location based on OpenStreetMap,"temple,",location-of-Zeus-Thenatas-T,,"-750.0,300.0"
786017,25.6985252,32.6380625,Luxor Temple,EG,Location based on OpenStreetMap,"temple,",luxor-temple,,"-1548.0,-1086.0"
148142,43.8382894,4.3560069,Maison Carrée,FR,The NW corner of the temple on the ancient forum built ca. 16 B.C. and dedicated to Caius and Lucius Caesar.,"temple,",maison-carree,,"-30.0,640.0"
406293647,35.826667,14.436389,Mnajdra,MT,megalithic temple complex of the fourth millennium BC,"temple,",mnajdra,,"-4000.0,-3000.0"
658544,37.9806564,38.740815,Nemrut Dağ,TR,"Peak of Nemrut Dağ. The location is a UNESCO World Heritage site, featuring a tomb for Antiochos I, king of Commagene.","mountain, temple,",nemrut-dag131,,"-330.0,-30.0"
321318358,25.7202066,32.599093,Northwest Corner of Mortuary Temple of Ramesses III,EG,Location based on OpenStreetMap,"temple,",northwest-corner-of-mortuary-temple-of-ramesses-iii,,"-1548.0,-1086.0"
79540,50.637493,-2.4271767,OSM Location,GB,"Polygonal geometry representing the visible enclosure of the site, derived from an OpenStreetMap way.","temple,",osm-location,,"-30.0,640.0"
625626693,39.7857904,9.1731134,OSM location,IT,Location based on OpenStreetMap,"temple, settlement,",osm-location,,"-2000.0,-1000.0"
584920092,40.5954311,8.2424319,OSM location,IT,Location based on OpenStreetMap,"temple,",osm-location,,"-2000.0,-1000.0"
246698,41.6780762,1.8547272,OSM Location,ES,Polygonal geometry corresponding to the perimeter of the extant remains of the monument. Derived from an OpenStreetMap way.,"temple,",osm-location,,"-330.0,-30.0"
472015,39.3940129,8.5001976,OSM location,IT,Representative point derived from an OpenStreetMap node.,"temple,",osm-location,,"-550.0,300.0"
383713,45.9166019,10.8189765,OSM location of archaeological area,IT,Location based on OpenStreetMap,"temple,",osm-location-of-archaeological-area,,"-330.0,300.0"
657287138,37.5827598,15.1540248,OSM location of archaeological area of Santa Venera al Pozzo,IT,Location based on OpenStreetMap,"settlement, temple, bath,",area-archeologica-di-santa-venera-al-pozzo,,"1700.0,2100.0"
967215409,41.8951723,12.4772404,OSM location of Area Sacra di Largo di Torre Argentina archaeological site,IT,Representative location based on OpenStreetMap.,"temple,",location-of-area-sacra-di-largo-di-torre-argentina,,"1700.0,2100.0"
432695,41.500895,13.6856435,OSM location of Capitolium,IT,Representative location based on OpenStreetMap.,"temple,",location-of-capitolium,,"-30.0,300.0"
380688207,40.1116512,49.3788729,OSM location of Gobustan State Reserve,AZ,Representative location based on OpenStreetMap.,"temple,",location-of-gobustan-rock-art-cultural-landscape,,"1700.0,2100.0"
793723815,40.7491701,14.488028,OSM location of Iseum,IT,Location based on OpenStreetMap,"temple,",iseum,,"-330.0,300.0"
462118,37.3387946,14.8557338,OSM location of Monte San Basilio,IT,"Location of Monte San Basilio, near modern Lentini, based on an Open Street Map node. The place has been associated with the ancient settlement of Brikinniai.","architecturalcomplex,Temple of  hill, settlement,mple,",osm-location-of-monte-san-basilio,,"-750.0,640.0"
380688207,40.1022556,49.3873024,OSM location of Roman inscriptions,AZ,Representative location based on OpenStreetMap.,"temple,",location-of-latin-inscriptions,,"-140.0,640.0"
256128,37.8848788,-4.7766452,OSM location of Roman temple,ES,Representative location based on OpenStreetMap.,"temple,",location-of-roman-temple,,"-30.0,300.0"
946753455,37.2966668,13.5885018,"OSM location of so-called ""Oratorio di Falaride""",IT,"Representative location of the so-called Oratory of Phalaris, in the Upper Agora of Agrigento, based on OpenStreetMap.","temple,",oratorio-di-falaride,,"-30.0,300.0"
531869654,40.7496429,14.4849532,"OSM location of so-called ""Santuario dei Lari Pubblici""",IT,Location based on OpenStreetMap,"temple,",santuario-dei-lari-pubblici,,"-30.0,300.0"
780913480,40.7490478,14.4847266,"OSM location of so-called ""Tempio di Apollo""",IT,Location based on OpenStreetMap,"temple,",tempio-di-apollo,,"-750.0,300.0"
83544252,40.7493086,14.4886183,"OSM location of so-called ""Tempio di Asclepio""",IT,Location based on OpenStreetMap,"temple,",tempio-di-asclepio,,"-330.0,-30.0"
367026512,40.7497988,14.4844999,"OSM location of so-called ""Tempio di Giove""",IT,Location based on OpenStreetMap,"temple,",tempio-di-giove,,"-330.0,300.0"
95873554,40.7496489,14.4851028,"OSM location of so-called ""Tempio di Vespasiano""",IT,Location based on OpenStreetMap,"temple,",tempio-di-vespasiano,,"-30.0,300.0"
81187433,40.7482879,14.4879835,"OSM location of so-called ""Tempio Dorico""",IT,Location based on OpenStreetMap,"temple,",tempio-dorico,,"-750.0,300.0"
967215409,41.8955776,12.4769664,"OSM location of so-called ""Temple A""",IT,Representative location based on OpenStreetMap.,"temple,",location-of-temple-a,,"-330.0,300.0"
967215409,41.8954071,12.4769134,"OSM location of so-called ""Temple B""",IT,"A temple vowed by Q. Lutatius Catulus at the battle of Vercellae (30 June, 101 B.C.). The sanctuary is a tholos-type temple and was sometimes referred to as 'aedes Catuli'. Representative location based on OpenStreetMap.","temple,",location-of-temple-b,,"-330.0,640.0"
967215409,41.8952077,12.4766288,"OSM location of so-called ""Temple C""",IT,Representative location based on OpenStreetMap.,"temple,",location-of-temple-c,,"-330.0,300.0"
967215409,41.894948,12.4767898,"OSM location of so-called ""Temple D""",IT,Representative location based on OpenStreetMap.,"temple,",location-of-temple-d,,"-330.0,300.0"
433086,41.5983473,14.7552258,OSM location of temple,IT,Location based on OpenStreetMap,"temple,",location-of-temple,,"-330.0,-30.0"
462228,38.0759738,14.6959442,OSM location of Temple of Hercules,IT,Location based on OpenStreetMap,"temple,",osm-location-of-temple-of-hercules,,"-330.0,-30.0"
494660670,41.8891236,12.4808422,OSM location of Temple of Portunus,IT,Representative location based on OpenStreetMap.,"temple,",location-of-temple-of-portunus,,"-330.0,1200.0"
157243532,37.9978345,14.2627243,OSM location of the Agora of Halaesa,IT,OpenStreetMap location of the ruins of the agora of Halaesa,"plaza,Temple of  cemetery,mple,",agora-of-halaesa,,"-330.0,-30.0"
219478548,37.0734765,15.277609,OSM location of the Altar of Hieron II,IT,"Representative location of the Altar of Hiero II in the archaeological area of Neapolis, in Syracuse based on an OpenStreetMap Way.","temple,",osm-location-of-the-altar-of-hiero-ii,,"-330.0,300.0"
462126,36.8685734,14.4581149,OSM location of the archaeological site of Kamarina,IT,Representative location of the archaeological area of Kamarina based on an OpenStreetMap way.,"settlement, temple, plaza,",parco-archeologico-di-kamarina,,"-750.0,640.0"
462234,36.8405431,15.1077077,OSM location of the archeological site of Eloro,IT,"OSM location of the archaeological area of Eloro, based on a representative point derived from an OpenStreetMap Way.","wall,Temple of  plaza, cistern,mple,",eloro,,"-550.0,640.0"
421330490,37.9710806,13.8225455,OSM location of the Temenos of Athena,IT,"OpenStreetMap location of the ruins of the so called Temenos of Athena in the archaeological site of Himera, Sicily.","architecturalcomplex, temple, wall,",agora,,"-750.0,-550.0"
37484455,37.9740113,13.8237073,OSM location of the Temple of Victory,IT,"OpenStreetMap location of the Temple of Victory in the archaeological site of Himera, in Sicily","temple,",tempio-della-vittoria,,"-550.0,-330.0"
823633465,38.5163318,-0.1970617,OSM Location of Torre de San Josep,ES,Representative Location based on OpenStreetMap,"temple,",location-of-torre-de-san-josep,,"-30.0,300.0"
423116,42.021111,12.390833,Portonaccio sanctuary,IT,The Portonaccio sanctuary of Etruscan Veii.,"temple,",portonaccio-sanctuary,,"-750.0,-30.0"
963047542,25.727772,32.610244,Ramesseum Temple Complex,EG,The center of the Ramesseum temple complex.,"temple,",ramesseum-temple-complex,,"-1548.0,-1086.0"
491741,40.633333,22.952917,Rotunda of Galerius,GR,A brick rotunda of the fourth century AD ordered by the emperor Galerius for use as either a tomb or temple; later incorporated into the Christian Church of Agios Georgios. Listed as a UNESCO World Heritage Site in 1988,"temple,",rotunda-of-galerius,UWHS,"300.0,1453.0"
69539,48.260586,-0.498662,Sanctuary,FR,Centerpoint of sanctuary at modern Jublains,"temple,",sanctuary,,"-30.0,640.0"
579958,38.095615,23.900453,Sanctuary of Dionysos,GR,"The Sanctuary of Dionysos, which includes a theater, choregic monument, statue bases, and at least one temple, formed part of the civic center of the Attic deme of Ikarion.","plaza,Temple of  temple,eatre,",centerpoint-of-sanctuary-of-dionysos-per-google-earth,,"-550.0,300.0"
580034,38.217396,24.027674,"Sanctuary of Nemesis, Rhamnous",GR,The center-point of the 5th c. BCE marble Temple of Nemesis in the Attic deme of Rhamnous.,"temple,",sanctuary-of-nemesis-rhamnous,,"-550.0,300.0"
580107,37.653111,24.02725,Sanctuary of Phrontis(?),GR,The site of a shrine assumed to honor to the hero Phrontis.,"temple,",phrontis-t,,"-750.0,-550.0"
109361,49.664408,6.509593,Site of Roman temple complex,DE,"This reconstructed (in-situ) temple complex stands on a hill called Metzenberg, just to the southwest of modern Tawern in Germany. A partially excavated Gallo-Roman vicus lies at the foot of the hill, closer to town.",unknown,site-of-reconstructed-roman-temple-complex-in-situ-at-tawern,,"-30.0,640.0"
138464,45.7726494,2.964407,Site of the Gallo-Roman Mercury temple,FR,,"temple,",site-of-the-gallo-roman-mercury-temple,,"-30.0,640.0"
442962448,29.9753881,31.1380539,Sphinx Temple,EG,Location based on OpenStreetMap,"temple,",sphinx-temple,,"-2670.0,-2168.0"
110149525,35.869167,14.511944,Tarxien,MT,Megalithic temple complex (ca. 3150 BC) named as a UNESCO World Heritage Site in 1980,"temple,",tarxien,UWHS,"-2500.0,-700.0"
601235773,35.840378,14.557183,Tas-Silġ,MT,"A hilltop that is the locus of multi-period settlement from the Neolithic period to late antiquity.  Coordinates verified in Google Earth at an eye altitude of 5,400 feet.","settlement, temple,",tas-silg,,"-2500.0,640.0"
462489,37.5867781,12.8344372,Temple E at Selinus,IT,"A fifth century BC Doric temple, sacred to perhaps Hera or Dionysus, located on the eastern hill at Selinus.","temple,",location-of-temple-of-hera,"Hera,Temple of  Zeus, Artemis,mple, Athena","-550.0,-330.0"
442962448,29.9756856,31.1380828,Temple of Amenhotep II,EG,Location based on OpenStreetMap,"temple,",temple-of-amenhotep-ii,,"-2670.0,-2168.0"
462503,37.063921,15.292995,Temple of Apollo at Syracuse,IT,Temple of Apollo at Syracuse on the island of Ortygia,"temple,",centerpoint-of-the-temple-of-apollo-in-syracuse-ortygia,"Apollo,Temple of  dare:feature=major temple,mple","-750.0,1453.0"
590030,36.439992,28.21066,Temple of Apollo Pythios,GR,The Hellenistic Temple of Apollo Pythios on the Acropolis of the city of Rhodes.,"temple,",temple-of-apollo-pythios,"Apollo, temple, dare:feature=temple","-330.0,-30.0"
599612,37.9497311,27.363807,Temple of Artemis,TR,"The Temple of Artemis, the central element of the extramural sanctuary of Artemis at Ephesus, was considered one of the Seven Wonders of the Ancient World.","temple,",temple-of-artemis,"dare:feature=major temple, temple, Artemis","-750.0,640.0"
893990,34.751029,40.72706,Temple of Artemis Azzanathkona,SY,Temple of a syncretized incarnation of Artemis built at Dura-Europos in the Hellenistic period,"temple,",temple-of-artemis-azzanathkona,"temple, Artemis, dare:feature=temple","-330.0,226.0"
570685,37.083301,22.435455,Temple of Artemis Orthia,GR,Archaic temple dedicated to Artemis Orthia within the sanctuary of this goddess at Sparta. The site contained rich deposits of votives and masks.,"temple,",temple-of-artemis-orthia-4,"Altar, temple, Artemis","-850.0,300.0"
580107,37.652889,24.027056,Temple of Athena,GR,Temple of Athena at Sounion with L-shaped colonnade. It was built on the site of an earlier temple at the same location.,"temple,",athena-t,Athena,"-750.0,-330.0"
570707,37.455322,22.420458,Temple of Athena Alea at Tegea,GR,DARMC location 24216; 500K scale point location,unknown,darmc-location-24216,,"-750.0,300.0"
442733,40.4245798,15.0052452,Temple of Athena at Paestum,IT,Late Archaic Doric Temple of Athena at Paestum,"temple,",location-of-temple-of-athena,"dare:feature=temple, temple, Athena","-550.0,640.0"
668331,34.553302,38.269948,Temple of Ba'al,SY,"Temple of Ba'al in the ancient city of Palmyra. Coordinates determined by eye in Google Earth in November 2012, following description in UNESCO World Heritage List.","temple,",temple-of-baal,UWHS,"-30.0,300.0"
462489,37.586763,12.816874,Temple of Demeter at the Sanctuary of Demeter Malophoros,IT,"The Temple of Demeter was used for the worship of Demeter (Malophoros),Temple of  goddess of fertility, grain and agriculture. Built in the 7th century BC,e temple was used continuously until its abandonment in 250 BC","temple,",temple-of-demeter-at-the-sanctuary-of-demeter-malophoros,"temple, Demeter","-550.0,-30.0"
442733,40.4191516,15.0050533,"Temple of Hera I (the ""Basilica"")",IT,An Archaic Doric temple probably dedicated to Hera in the central urban sanctuary of Paestum/Poseidonia,"temple,",location-of-temple-of-hera-i-basilica,"Hera, temple, dare:feature=temple","-750.0,640.0"
442733,40.419813,15.0050313,Temple of Hera II (Neptune),IT,A fifth century BC Doric temple.,"temple,",location-of-temple-of-hera-ii-neptune,"Hera,Temple of  Poseidon,mple, dare:feature=temple","-550.0,640.0"
423072,41.696925,13.024731,Temple of Iuno Moneta,IT,temple of Iuno Moneta at Signia,unknown,temple-of-iuno-moneta,Iuno,"-750.0,640.0"
433143,41.2911213768,13.259730192,Temple of Jupiter Anxur,IT,A late Republican sanctuary of the city of Terracina,"temple,",temple-of-jupiter-anxur,Zeus,"-330.0,300.0"
786059,25.2935118,32.5560224,Temple of Khnum,EG,Location based on OpenStreetMap,"unknown,",temple-of-khnum,,"-330.0,-30.0"
423060,41.513128,12.755083,Temple of Mater Matuta,IT,A sanctuary to Mater Matuta in use between the seventh and fifth centuries BC,"temple,",temple-of-mater-matuta,,"-750.0,-330.0"
756512,26.1845358,31.9183799,Temple of Seti I,EG,Location based on OpenStreetMap,"temple,",temple-of-seti-i,,"-1548.0,-1086.0"
550812,39.1330313,27.1837067,Temple of Trajan at Pergamum,TR,Location based on OpenStreetMap,"temple,",trajan-tempel,,"-30.0,300.0"
423025,41.8917,12.4862,Temple of Vesta,IT,"Location as derived from Google Earth, specifically the Temple of Vesta in the Roman Forum.","temple,",temple-of-vesta,,"-750.0,640.0"
638753,37.7097188302,28.7231890209,Temple/Church,TR,,unknown,temple-church,,"-30.0,640.0"
579885,37.972,23.726443,The Erechtheion,GR,"The Erechtheion is a temple on the Athenian Acropolis dedicated to Athena Polias and other deities and heroes; the temple is of the Ionic order with several distinctive features, including its famous caryatid porch","temple,",the-erechtheion,Athena,"-550.0,300.0"
550812,39.130991,27.18383,The Great Altar at Pergamon,TR,"The Great Altar of Zeus, constructed during the first half of the 2nd century BC, is a monumental altar on a high platform, with two projecting wings; its Hellenistic Baroque sculptural program includes a high-relief Gigantomachy around the outside of the building and an interior frieze depicting the story of the mythical hero Telephos","temple,",the-great-altar-at-pergamon,"Altar, Zeus, Hellenistic Baroque Style","-330.0,-30.0"
442962448,29.975257,31.137235,The Great Sphinx,EG,"A monumental limestone sphinx on the Giza plateau, likely connected with the reign of Pharaoh Khafre. Location based on OpenStreetMap","temple,",the-great-sphinx,,"-2670.0,-2168.0"
599905,37.6593017578,27.2964992523,The Temple of Athena Polias at Priene,TR,"The temple of Athena at Priene, built by the architect Pytheos, is an especially good example of the Late Classical form of the Ionic order","temple,",the-temple-of-athena-polias-at-priene,"dare:feature=major temple, temple, Athena","-550.0,300.0"
786127,29.55009,79.54153,The Temple of Hathor at Dendera,IN,"The Ptolemaic temple to Hathor, one of the festival temples built within the Dodekaschoinos.",unknown,the-temple-of-hathor-at-dendera,,"-330.0,-30.0"
785974,36.4227215,9.2180918,The Temple of Horus,TN,The center of the Edfu temple complex.,unknown,edfu,,"-330.0,-30.0"
678106,33.511234,36.305319,The Temple of Jupiter,SY,"Remains of the Roman Temple of Jupiter in the Ancient City of Damascus. Coordinates determined by eye in Google Earth in November 2012, following description in UNESCO World Heritage List.","temple,",the-temple-of-jupiter,UWHS,"-30.0,300.0"
786079,45.8598168,13.3428899,The Temple of Kom Ombo,IT,The Ptolemaic temple to Sobek and Horus the Elder at Kom Ombo.,"temple,",the-temple-of-kom-ombo,,"-330.0,-30.0"
721417202,22.337647,31.626769,The Temple to Nefertari at Abu Simbel (Current Location),EG,"The smaller of the two temples at Abu Simbel, dedicated to the goddess Hathor and the deified queen Nefertari.  The temple was relocated between 1964 and 1968 to prevent its submersion under Lake Nasser after the construction of the Aswan High Dam.",unknown,the-temple-to-nefertari-at-abu-simbel-current-location,,"1700.0,2100.0"
721417202,22.335786,31.627804,The Temple to Nefertari at Abu Simbel (Original Location),EG,"The smaller of the two temples at Abu Simbel, dedicated to the goddess Hathor and the deified queen Nefertari. The temple was relocated between 1964 and 1968 to prevent its submersion under Lake Nasser after the construction of the Aswan High Dam.",unknown,the-temple-to-nefertari-at-abu-simbel-original-location,,"-1548.0,1450.0"
721417202,22.336992,31.625543,The Temple to Ramesses II at Abu Simbel (Current Location),EG,"The larger of the two temples at Abu Simbel, dedicated to the triad of Amun, Ra-Horakhty, and Ptah, as well as the deified Ramesses II. The temple was relocated between 1964 and 1968 to prevent its submersion under Lake Nasser after the construction of the Aswan High Dam.",unknown,the-large-temple-at-abu-simbel,,"1700.0,2100.0"
721417202,22.33535,31.626141,The Temple to Ramesses II at Abu Simbel (Original Location),EG,"The larger of the two temples at Abu Simbel, dedicated to the triad of Amun, Ra-Horakhty, and Ptah, as well as the deified Ramesses II. The temple was relocated between 1964 and 1968 to prevent its submersion under Lake Nasser after the construction of the Aswan High Dam.",unknown,the-temple-to-ramesses-ii-at-abu-simbel-original-location,,"-1548.0,1450.0"
442733,40.42327,15.00489,Underground Shrine,IT,"A small,Temple of  underground tomb-like structure located in the agora of Paestum,ought to be either a shrine or a heroon.","unknown, temple,",underground-shrine,"Nymphs, tomb, Shrine, heroon","-550.0,-30.0"
442962448,29.9749053,31.1380731,Valley Temple of Khafre,EG,Location based on OpenStreetMap,"temple,",valley-temple-of-khafre,,"-2670.0,-2168.0"
786089,24.025031,32.884252,View of the Relocated Philae temple,EG,"The visible remains of the temple complex from Philae island, relocated to Agilkia Island in a UNESCO effort. Temples are of Ptolemaic date, and continued in use during the Roman empire, but time period associated with this location has been set to ""modern"" because it is not the original location.","temple,",view-of-the-relocated-philae-temple,,"1700.0,2100.0"
785970,25.738333,32.607778,View of the Visible Remains at Deir el-Bahri,EG,Center of the mortuary temples at Deir el-Bahri.,unknown,view-of-the-visible-remains-at-deir-el-bahri,place,"-2168.0,-1086.0"
776223,25.664694,28.813372,visible remains of the temple at Deir el-Hagar,EG,Deir el-Hagar is a sandstone temple on the western edge of Dakhla Oasis.,"temple,",view-of-the-visible-remains-of-the-temple-at-deir-el-hagar,place,"-30.0,300.0"
